"ticker","volatility_ratio","sharpe_ratio","treynor_ratio","jensen_alpha","beta_index","created_at","updated_at"
"JFLL11","22.0138","0.1008","-3.6467","2.223","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"JCIN11","0.0000","0.0000","-1.3630","-0.150","0.001","2025-07-02 00:00:00","2025-11-07 00:00:00"
"JCCJ11","54.9877","0.1434","-0.2551","7.840","0.003","2024-05-22 00:00:00","2025-11-07 00:00:00"
"JBFO11","0.0000","0.0000","0.0000","0.000","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"JASC11","21.4738","0.2982","0.0704","6.401","-0.012","2024-05-22 00:00:00","2025-09-21 00:00:00"
"ITRI11","16.8163","1.1717","0.0565","19.715","0.009","2024-05-29 00:00:00","2025-10-05 00:00:00"
"ITIT11","13.7070","1.1564","0.0147","15.860","0.007","2024-05-22 00:00:00","2025-11-07 00:00:00"
"ITIP11","14.0745","0.9042","-0.0439","12.733","0.005","2024-05-22 00:00:00","2025-11-07 00:00:00"
"ISCJ11","127.8531","-0.1530","0.2336","-19.563","-0.015","2024-05-22 00:00:00","2025-11-07 00:00:00"
"IRIM11","19.0746","0.0564","-0.1446","1.077","0.010","2024-05-22 00:00:00","2025-11-07 00:00:00"
"IRDM11","13.7514","0.0834","-0.1216","1.145","0.011","2024-05-22 00:00:00","2025-11-07 00:00:00"
"INRD11","27.2781","0.2199","-0.3155","6.031","0.003","2025-07-02 00:00:00","2025-11-07 00:00:00"
"INLG11","14.5375","0.4851","-0.1448","7.066","0.005","2024-12-02 00:00:00","2025-11-07 00:00:00"
"ICRI11","17.6191","0.6289","0.4827","11.080","-0.001","2024-05-29 00:00:00","2025-11-07 00:00:00"
"ICNE11","0.0000","0.0000","0.0000","0.000","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"IBFF11","0.0000","0.0000","0.0000","0.000","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"IBCR11","19.4043","-0.1602","-1.4326","-3.109","0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"IBBP11","154.6194","0.0776","-0.2497","12.058","0.001","2025-07-02 00:00:00","2025-11-07 00:00:00"
"HYPI11","0.0000","0.0000","0.0000","0.000","0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"HUSI11","97.1634","0.0517","0.0074","5.010","-0.133","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HUSC11","39.8572","0.0448","1.1640","1.777","-0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HUCG11","61.8788","0.0388","-0.0994","2.390","0.013","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HTMX11","12.8945","0.3522","0.2118","4.572","-0.005","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HSRE11","16.2233","0.5611","0.1643","8.995","-0.004","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HSML11","16.1913","0.0360","-0.2937","0.583","0.005","2024-05-22 00:00:00","2025-10-19 00:00:00"
"HSLG11","17.0437","0.7339","-0.0313","12.537","0.007","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HSAF11","23.2625","0.4071","0.7055","9.469","-0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HRES11","0.0000","0.0000",NULL,NULL,"0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"HREC11","21.7549","0.4943","-0.9278","10.754","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HRDF11","128.9863","-0.0732","-0.8274","-9.469","0.003","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HPDP11","34.6726","0.1199","0.2927","4.070","-0.004","2024-05-22 00:00:00","2025-09-28 00:00:00"
"HOSI11","34.5119","0.1481","-0.5625","5.116","0.002","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HOMS11","0.0000","0.0000","-16.3037","267.111","-0.002","2025-07-02 00:00:00","2025-11-07 00:00:00"
"HOFC11","50.6336","-0.2390","-0.7160","-12.093","0.004","2024-05-22 00:00:00","2025-09-21 00:00:00"
"HLOG11","17.4241","-4.9103","1.0696","-85.480","-0.009","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HILG11","0.0000","0.0000","0.0000","0.000","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
