"ticker","users_ranking_count","users_rank_movement_count","sirios_ranking_count","sirios_rank_movement_count","ifix_ranking_count","ifix_rank_movement_count","ifil_ranking_count","ifil_rank_movement_count","created_at","updated_at"
"HBCR11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-19 00:00:00"
"HABT11","0","0","0","0","59","0","55","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HAAA11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-28 00:00:00"
"GZIT11","0","0","0","0","46","0","0","0","2024-06-10 00:00:00","2025-10-28 00:00:00"
"GTWR11","0","0","0","0","49","0","19","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"GTLG11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"GSFI11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"GRUL11","0","0","0","0","0","0","0","0","2025-04-01 00:00:00","2025-10-28 00:00:00"
"GLPF11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"GLOG11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"GLCR11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"GGRC11","0","0","0","0","26","0","26","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"GFDL11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"GCRI11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"GCOI11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"GCDL11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"GARE11","0","0","0","0","36","0","36","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"GAME11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"FYTO11","0","0","0","0","0","0","0","0","2025-06-12 00:00:00","2025-10-19 00:00:00"
"SOLR11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FVPQ11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FTCE11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"FPNG11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"ERCR11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FPAB11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FMOF11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FLRP11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FLMA11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FLCR11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"FIVN11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-10-28 00:00:00"
"FISC11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
