"ticker","ref_month","dividends_sum","price_ref","dy_monthly"
"AJFI11","2025-03-01","0.07","7.26","0.00964187327823691460"
"AJFI11","2025-04-01","0.07","7.42","0.00943396226415094340"
"AJFI11","2025-05-01","0.07","7.44","0.00940860215053763441"
"AJFI11","2025-06-01","0.06","7.35","0.00816326530612244898"
"AJFI11","2025-07-01","0.06","7.20","0.00833333333333333333"
"AJFI11","2025-08-01","0.06","7.60","0.00789473684210526316"
"AJFI11","2025-09-01","0.06","7.74","0.00775193798449612403"
"AJFI11","2025-10-01","0.03","7.75","0.00387096774193548387"
"AJFI11","2025-11-01","0.05","7.80","0.00641025641025641026"
"ALMI11","2017-04-01","0.37",NULL,NULL
"ALMI11","2024-07-01","6.27","655.00","0.00957251908396946565"
"ALMI11","2024-10-01","3.00","570.00","0.00526315789473684211"
"ALMI11","2024-11-01","5.00","575.39","0.00868975825092545925"
"ALMI11","2024-12-01","7.00","576.01","0.01215256679571535216"
"ALMI11","2025-01-01","4.04","614.20","0.00657766199934874634"
"ALMI11","2025-02-01","4.77","620.38","0.00768883587478642123"
"ALMI11","2025-03-01","3.39","600.00","0.00565000000000000000"
"ALMI11","2025-04-01","1.99","589.96","0.00337311004135873619"
"ALMI11","2025-05-01","2.10","550.99","0.00381132143959055518"
"ALMI11","2025-06-01","3.40","609.87","0.00557495859773394330"
"ALMI11","2025-07-01","5.26","585.00","0.00899145299145299145"
"ALMI11","2025-08-01","3.93","620.00","0.00633870967741935484"
"ALMI11","2025-09-01","4.23","580.51","0.00728669618094434204"
"ALMI11","2025-10-01","4.17","639.99","0.00651572680823137862"
"ALMI11","2025-11-01","3.04","590.00","0.00515254237288135593"
"ALZC11","2024-04-01","1.14","100.00","0.01140000000000000000"
"ALZC11","2024-05-01","1.24","96.00","0.01291666666666666667"
"ALZC11","2024-06-01","1.20","97.00","0.01237113402061855670"
"ALZC11","2024-07-01","1.07","96.00","0.01114583333333333333"
"ALZC11","2024-08-01","1.18","96.00","0.01229166666666666667"
"ALZC11","2024-09-01","1.18","94.99","0.01242236024844720497"
"ALZC11","2024-10-01","1.25","92.00","0.01358695652173913043"
"ALZC11","2024-11-01","1.20","93.99","0.01276731567187998723"
"ALZC11","2024-12-01","1.20","93.50","0.01283422459893048128"
"ALZC11","2025-01-01","1.27","91.00","0.01395604395604395604"
"ALZC11","2025-02-01","0.39","72.84","0.00535420098846787479"
"ALZC11","2025-03-01","1.55","79.13","0.01958801971439403513"
"ALZC11","2025-04-01","1.10","8.63","0.12746234067207415991"
"ALZC11","2025-05-01","0.12","8.65","0.01387283236994219653"
"ALZC11","2025-06-01","0.12","8.21","0.01461632155907429963"
"ALZC11","2025-07-01","0.10","7.51","0.01331557922769640479"
"ALZC11","2025-08-01","0.11","7.45","0.01476510067114093960"
"ALZC11","2025-09-01","0.11","7.78","0.01413881748071979434"
"ALZC11","2025-10-01","0.10","7.62","0.01312335958005249344"
"ALZC11","2025-11-01","0.10","7.58","0.01319261213720316623"
"ALZR11","2021-10-01","0.62","110.80","0.00559566787003610108"
"ALZR11","2021-11-01","0.64","104.60","0.00611854684512428298"
"ALZR11","2021-12-01","0.65","113.83","0.00571026970043046649"
"ALZR11","2022-01-01","0.75","115.17","0.00651211252930450638"
"ALZR11","2022-02-01","0.73","111.70","0.00653536257833482543"
"ALZR11","2022-03-01","0.76","113.36","0.00670430486944248412"
"ALZR11","2022-04-01","0.77","116.04","0.00663564288176490865"
"ALZR11","2022-05-01","0.78","115.20","0.00677083333333333333"
"ALZR11","2022-06-01","0.78","116.50","0.00669527896995708155"
"ALZR11","2022-07-01","0.78","113.50","0.00687224669603524229"
"ALZR11","2022-08-01","0.78","117.48","0.00663942798774259448"
"ALZR11","2022-09-01","5.65","117.23","0.04819585430350592852"
"ALZR11","2022-10-01","0.80","118.17","0.00676990776000676991"
"ALZR11","2022-11-01","0.78","115.49","0.00675383150056281929"
"ALZR11","2022-12-01","0.73","111.01","0.00657598414557247095"
"ALZR11","2023-01-01","0.78","111.40","0.00700179533213644524"
"ALZR11","2023-02-01","0.81","111.71","0.00725091755438188166"
"ALZR11","2023-03-01","0.82","112.00","0.00732142857142857143"
"ALZR11","2023-04-01","0.82","116.89","0.00701514244161177175"
"ALZR11","2023-05-01","0.82","110.95","0.00739071653898152321"
"ALZR11","2023-06-01","0.82","115.36","0.00710818307905686546"
"ALZR11","2023-07-01","0.83","115.03","0.00721550899765278623"
"ALZR11","2023-08-01","0.83","116.76","0.00710859883521754025"
"ALZR11","2023-09-01","0.83","116.79","0.00710677284014042298"
"ALZR11","2023-10-01","0.83","114.63","0.00724068742911977667"
"ALZR11","2023-11-01","0.83","114.29","0.00726222766646250766"
"ALZR11","2023-12-01","0.83","117.64","0.00705542332539952397"
"ALZR11","2024-01-01","0.80","115.30","0.00693842150910667823"
