"ticker","display_name","sector","sub_sector","classification","management_type","target_market","traded_until_date","payment_date","dividend_amt","ref_month","month_dividends_amt","month_price_ref","dy_monthly","dy_12m_pct","dy_current_monthly_pct","dividends_12m_amt","last_dividend_amt","last_payment_date"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2025-11-14 00:00:00","2025-11-24 00:00:00","1.01","2025-11-01","1.01","94.70","0.01066525871172122492","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2025-10-14 00:00:00","2025-10-21 00:00:00","1.01","2025-10-01","1.01","94.77","0.01065738102775139812","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2025-09-12 00:00:00","2025-09-19 00:00:00","1.01","2025-09-01","1.01","93.85","0.01076185402237613213","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2025-08-14 00:00:00","2025-08-21 00:00:00","1.01","2025-08-01","1.01","92.65","0.01090124123043712898","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2025-07-14 00:00:00","2025-07-21 00:00:00","1.09","2025-07-01","1.09","91.61","0.01189826438161772732","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2025-06-13 00:00:00","2025-06-23 00:00:00","1.01","2025-06-01","1.01","92.99","0.01086138294440262394","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2025-05-15 00:00:00","2025-05-22 00:00:00","1.00","2025-05-01","1.00","92.90","0.01076426264800861141","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2025-04-14 00:00:00","2025-04-23 00:00:00","0.99","2025-04-01","0.99","93.14","0.01062916040369336483","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2025-03-18 00:00:00","2025-03-25 00:00:00","0.98","2025-03-01","0.98","93.21","0.01051389335908164360","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2025-02-14 00:00:00","2025-02-21 00:00:00","0.97","2025-02-01","0.97","91.38","0.01061501422630772598","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2025-01-15 00:00:00","2025-01-22 00:00:00","0.95","2025-01-01","0.95","87.92","0.01080527752502274795","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2024-12-13 00:00:00","2024-12-20 00:00:00","0.95","2024-12-01","0.95","90.55","0.01049144119271120928","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2024-11-14 00:00:00","2024-11-25 00:00:00","0.93","2024-11-01","0.93","93.64","0.00993165313968389577","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2024-10-14 00:00:00","2024-10-21 00:00:00","0.93","2024-10-01","0.93","93.19","0.00997961154630325142","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2024-09-13 00:00:00","2024-09-20 00:00:00","0.93","2024-09-01","0.93","97.23","0.00956494908978710275","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2024-08-14 00:00:00","2024-08-21 00:00:00","0.95","2024-08-01","0.95","97.03","0.00979078635473564877","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2024-07-12 00:00:00","2024-07-19 00:00:00","0.95","2024-07-01","0.95","96.85","0.00980898296334537945","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2024-06-14 00:00:00","2024-06-21 00:00:00","0.96","2024-06-01","0.96","97.52","0.00984413453650533224","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2024-05-15 00:00:00","2024-05-22 00:00:00","0.95","2024-05-01","0.95","97.05","0.00978876867594023699","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2024-04-12 00:00:00","2024-04-19 00:00:00","0.95","2024-04-01","0.95","97.27","0.00976662897090572633","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2024-03-14 00:00:00","2024-03-21 00:00:00","0.95","2024-03-01","0.95","97.93","0.00970080669866230981","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2024-02-16 00:00:00","2024-02-23 00:00:00","0.95","2024-02-01","0.95","98.00","0.00969387755102040816","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2024-01-15 00:00:00","2024-01-22 00:00:00","1.00","2024-01-01","1.00","98.70","0.01013171225937183384","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2023-12-14 00:00:00","2023-12-21 00:00:00","1.00","2023-12-01","1.00","100.00","0.01000000000000000000","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2023-11-16 00:00:00","2023-11-23 00:00:00","1.02","2023-11-01","1.02","95.29","0.01070416622940497429","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
