"ticker","revenue_due_0_3m_pct","revenue_due_3_6m_pct","revenue_due_6_9m_pct","revenue_due_9_12m_pct","revenue_due_12_15m_pct","revenue_due_15_18m_pct","revenue_due_18_21m_pct","revenue_due_21_24m_pct","revenue_due_24_27m_pct","revenue_due_27_30m_pct","revenue_due_30_33m_pct","revenue_due_33_36m_pct","revenue_due_over_36m_pct","revenue_due_undetermined_pct","revenue_igpm_pct","revenue_inpc_pct","revenue_ipca_pct","revenue_incc_pct","created_at","updated_at"
"RBLG11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBOP11","0","0","0","0.3325","0","0","0","0","0","0","0","0.3000","0.3673","0","0","0","1.0000","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBRD11","0","0","0","0","0","0","0","0","0","0","0","0","1.0000","0","1.0000","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBRF11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBRI11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBRK11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2025-07-02 00:00:00","2025-11-22 00:00:00"
"RBRL11","0.0000","0.0000","0.2739","0.1176","0.0000","0.0618","0.0000","0.0000","0.0000","0.0301","0.0000","0.0000","0.5163","0.0000","0.1476","0.0000","0.8523","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBRP11","0.0443","0.0000","0.0000","0.0000","0.0000","0.0185","0.0000","0.0296","0.0000","0.0228","0.0798","0.0000","0.8047","0.0000","0.0917","0.0000","0.9082","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBRR11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBRS11","0","0","1.0000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBRX11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBRY11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBTS11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBVA11","0.0107","0.0000","0.0000","0.0000","0.0000","0.0057","0.0327","0.0000","0.0883","0.0000","0.0000","0.0000","0.8490","0.0132","0.3326","0.0028","0.6645","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RCFA11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RCFF11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RCRB11","0.0000","0.0000","0.0143","0.0000","0.1375","0.0580","0.0000","0.1192","0.0136","0.0759","0.0905","0.0371","0.4533","0.0000","0.2663","0.0425","0.6911","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RDLI11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2025-07-02 00:00:00","2025-11-22 00:00:00"
"RECD11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"RECM11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"RECR11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RECT11","0.0521","0.0000","0.0000","0.0218","0.1166","0.0262","0.0267","0.1224","0.0541","0.0154","0.0000","0.0218","0.5425","0.0000","0.3522","0.0000","0.6477","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"REIT11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RELG11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
