"ticker","dy_monthly_pct","dy_pct","sum_anual_dy_amt","last_dividend_amt","last_payment_date","market_cap_value","enterprise_value","price_book_ratio","equity_per_share","revenue_per_share","dividend_payout_pct","growth_rate","cap_rate","leverage_ratio","equity_value","variation_month_ratio","variation_year_ratio","equity_month_ratio","dividend_reserve_amt","admin_fee_due_amt","perf_fee_due_amt","total_cash_amt","expected_revenue_amt","liabilities_total_amt","created_at","updated_at"
"CNES11","0.61","5.34","0.09","0.01","2025-11-27 00:00:00","55639765.00","47544880.40","0.2150","7.566","0.160","0.00","-1.460","0.000","0.0034","258261005.00","0.0009","0.0078","-0.0001","86574.00","54456.35","0.00","13410672.33","5467481.12","878260.73","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CLIN11","1.12","14.66","12.46","0.95","2025-11-17 00:00:00","369344452.00","333467185.44","0.8740","97.221","0.007","0.00","-0.741","0.000","0.0010","422597956.00","0.0000","0.0190","0.0000","12394.00","342032.63","0.00","37725426.51","29439.19","413727.95","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CJCT11","0.32","3.63","2.27","0.20","2025-11-14 00:00:00","196218600.00","196516408.58","0.8560","72.990","0.361","0.00","1.688","0.000","0.0055","229187147.00","0.0032","0.0222","0.0005","855.00","140037.90","0","991214.47","1134212.82","1257623.05","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CIXM11","0.00","0.00","0.60","0.17","2025-11-10 00:00:00","0.00","0.00","0.0000","387.221","0.112","0.00","3.240","0.000","0.0016","237257404.00","-0.0055","0.0739","-0.0008","108.00","26843.08","0.00","8745731.65","68412.23","382211.13","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CIXF11",NULL,NULL,"0.00","0.00",NULL,"6963624.00","13255351.70","0.0000","0.000","2.659","0.00","0.000","0.000","0.0000","0.00","-0.2113","-0.7823","-0.2113","27.00","10000.00","0.00","530724.75","166423.14","6822452.45","2025-07-02 00:00:00","2025-11-22 00:00:00"
"CFII11","10.78","41.31","210.70","55.00","2025-10-30 00:00:00","53356736.00","46205302.41","0.4810","1061.210","0.113","0.00","-7.461","0.000","0.0931","111022766.00","0.0655","-0.2792","0.0655","109.00","14075.31","0.00","17490163.31","11833.09","10338729.72","2025-07-02 00:00:00","2025-11-22 00:00:00"
"CFHI11","63.21","435.24","73.12","10.62","2025-11-21 00:00:00","1589280.00","0.00","0.0680","246.672","0.034","0.01","-60.747","0.000","0.8132","23335178.00","0.0440","0.0493","0.0071","102.00","21606.16","1401945.06","21767121.40","3251.14","18975958.51","2025-07-02 00:00:00","2025-11-22 00:00:00"
"CEOC11","1.10","12.71","5.64","0.49","2025-11-14 00:00:00","80544275.00","77949448.81","0.6100","72.698","5.001","0.00","0.199","0.000","0.0045","131997815.00","0.0047","0.0626","-0.0015","3924.00","67600.69","0.00","3346685.22","9079707.19","588447.03","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CENU11",NULL,NULL,"0.00","0.00",NULL,"113978000.00","113986057.27","1.0170","98.325","0.675","0.00","0.067","0.000","0.0058","112068299.00","0.0025","-0.0022","0.0012","27.00","76486.61","0.00","638686.50","769519.43","646743.77","2024-06-10 00:00:00","2025-11-22 00:00:00"
"CCVA11","0.70","7.18","7.18","0.70","2025-11-21 00:00:00","61793225.00","61485161.13","1.0230","97.797","1.043","0.00","-2.680","0.000","0.0016","60389637.00","0.0089","0.0655","0.0013","1.00","60050.58","0.00","406976.72","644044.68","98912.85","2025-07-02 00:00:00","2025-11-22 00:00:00"
